id,occupancy_date,week_no,organization_name,shelter_name,shelter_city,facility_name,sector,occupancy,capacity
3310,02/01/2017,1,Homes First Society,HFS - Strachan House,Toronto,HFS - Strachan House,Co-ed,4,5
3311,02/01/2017,1,Homes First Society,HFS - Strachan House,Toronto,HFS - Strachan House,Co-ed,83,83
3312,02/01/2017,1,Horizon for Youth,Horizons for Youth,Toronto,Horizons for Youth,Youth,44,45
3313,02/01/2017,1,Kennedy House Youth Services,Kennedy House Youth shelter,Toronto,Kennedy House Youth Shelter,Youth,31,33
3314,02/01/2017,1,Na-Me-Res (Native Men's Residence),Na-Me-Res,Toronto,Na-Me-Res 14 Vaughan Road,Men,70,71
3315,02/01/2017,1,Na-Me-Res (Native Men's Residence),Na-Me-Res,Toronto,Sagatay 26 Vaughan Road,Men,19,20
3316,02/01/2017,1,Native Child & Family Services Toronto,Eagles Nest Transition House,Toronto,Eagle's Nest Transistion House,Youth,9,12
3317,02/01/2017,1,Second Base (Scarborough) Youth Shelter,Second Base Youth Shelter,Scarborough,Second Base Youth Shelter,Youth,0,0
3318,02/01/2017,1,Second Base (Scarborough) Youth Shelter,Second Base Youth Shelter,Scarborough,Second Base Youth Shelter,Youth,0,0
3319,02/01/2017,1,Society of St.Vincent De Paul,SVDP - Amelie House,Toronto,SVDP - Amelie House,Women,20,20
3320,02/01/2017,1,Society of St.Vincent De Paul,SVDP - Elisa House,Toronto,SVDP - Elisa House,Women,40,40
3321,02/01/2017,1,Society of St.Vincent De Paul,SVDP - Mary's Home,Toronto,SVDP - Mary's Home,Women,6,6
3322,02/01/2017,1,Society of St.Vincent De Paul,SVDP - Mary's Home,Toronto,SVDP - Mary's Home,Women,38,38
3323,02/01/2017,1,Society of St.Vincent De Paul,SVDP - St. Clare's Residence,Toronto,SVDP - St. Clare's Residence,Women,30,30
3324,02/01/2017,1,St. Simon's Shelter Inc.,St. Simon's Shelter,Toronto,St.Simon's 525 Bloor Street East,Men,5,5
3325,02/01/2017,1,St. Simon's Shelter Inc.,St. Simon's Shelter,Toronto,St.Simon's 525 Bloor Street East,Men,57,57
3326,02/01/2017,1,Street Haven At The Crossroads,Street Haven,Toronto,Street Haven - 87 Pembroke St,Women,46,46
3327,02/01/2017,1,Street Haven At The Crossroads,Street Haven,Toronto,Street Haven - 87 Pembroke St,Women,4,4
3329,02/01/2017,1,The MUC Shelter Corporation,Sojourn House,Toronto,Sojourn House,Families,89,76
3330,02/01/2017,1,The MUC Shelter Corporation,Sojourn House,Toronto,Sojourn House(Singles),Co-ed,77,77
3331,02/01/2017,1,The MUC Shelter Corporation,Sojourn House - Queens Drive,Toronto,Sojourn House - Queens Drive,Men,12,15
3332,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Evangeline Res,Toronto,S.A. Evangeline Residence,Women,8,9
3333,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Evangeline Res,Toronto,S.A. Evangeline Residence,Women,89,90
3334,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Florence Booth,Toronto,Florence Booth - 723 Queen St. W,Women,4,4
3335,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Florence Booth,Toronto,Florence Booth - 723 Queen St. W,Women,57,60
3336,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Gateway,Toronto,S.A. Gateway - 107 Jarvis Street,Men,12,12
3337,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Gateway,Toronto,S.A. Gateway - 107 Jarvis Street,Men,108,108
3338,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Hope,Toronto,S.A. Hope - 167 College St,Men,0,0
3339,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Hope,Toronto,S.A. Hope - 167 College St,Men,0,0
3340,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Toronto,S.A. Maxwell Meighen Centre,Men,45,45
